Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
New Gole Hatti,Street Food,150," West Patel Nagar, New Delhi",4.1,232,637,https://www.zomato.com/ncr/new-gole-hatti-west-patel-nagar-new-delhi,"2698/2, Main Road, Opposite Metro Pillar 208, West Patel Nagar, New Delhi",911126000000,28.64805475,77.16424819
Aroma Rest O Bar,"North Indian, Mughlai, Chinese",800," Karkardooma, New Delhi",4.1,335,13,https://www.zomato.com/ncr/aroma-rest-o-bar-karkardooma-new-delhi,"18, Ashish Corporate Tower, Karkardooma Community Centre, Karkardooma, New Delhi",917066000000,28.64836634,77.30213653
Giruz,"Cafe, Sandwich, Desserts, Burger, Pizza, Fast Food, Beverages",700," Baani Square, Sector 50, Gurgaon",4.1,270,938,https://www.zomato.com/ncr/giruz-sector-50,"F35 & 36, 1st Floor, Baani Square, Sector 50, Gurgaon",919311000000,28.42553641,77.05762703
Big Bang City,"Italian, North Indian, Mughlai, Modern Indian",2000," Janpath, New Delhi",4.1,132,0,https://www.zomato.com/ncr/big-bang-city-janpath-new-delhi,"76, 2nd Floor, Janpath Road, Janpath, New Delhi",919355000000,28.62836348,77.21975148
Noodle Bowl,"Thai, Chinese, Tibetan, Japanese",800," Sector 6, Dwarka, New Delhi",4.1,360,8506,https://www.zomato.com/ncr/noodle-bowl-sector-6-dwarka-new-delhi,"Shop 9, Ground Floor, LSC, Phase 1, Sector 6, Dwarka, New Delhi",919541000000,28.595159,77.065041
Shibiya Restaurant,"North Indian, Chinese, Mughlai",600," Sector 43, Faridabad",4.1,485,8386,https://www.zomato.com/ncr/shibiya-restaurant-1-sector-43-faridabad,"SurajKund-Badhkal Road, Near Manav Rachna University, Sector 43, Faridabad",919954000000,28.45139667,77.28305295
The Coco Company,"Cafe, Bakery, Desserts, Fast Food",600," Ninex City Mart Mall, Sohna Road, Gurgaon",4.1,356,929,https://www.zomato.com/ncr/the-coco-company-sohna-road,"17, Ground Floor, Ninex City Mart Mall, Sohna Road, Gurgaon",918131000000,28.41645275,77.04140905
Foreign Dhaba Express,"Mughlai, North Indian, Continental, Chinese, Thai",1500," Punjabi Bagh, New Delhi",4.1,499,95,https://www.zomato.com/ncr/foreign-dhaba-express-punjabi-bagh-new-delhi,"6, Shanti Store, Club Road Market, West Region, Punjabi Bagh, New Delhi",920000000000,28.66591046,77.12604113
Monster's Cafe,"North Indian, Continental, Italian, Chinese, Fast Food",1200," DLF Phase 4, Gurgaon",4.1,631,15800,https://www.zomato.com/ncr/monsters-cafe-dlf-phase-4,"Khasra 48/1, Plot 1, Shiva Market, Chakkarpur, DLF Phase 4, Gurgaon",919999000000,28.4731131,77.08150372
Knight,"North Indian, Italian, Chinese, Continental, Seafood, Beverages",1600," Connaught Place, New Delhi",4.1,764,1,https://www.zomato.com/ncr/knight-connaught-place-new-delhi,"B-45/47, 1st Floor, Near PVR Plaza, Connaught Place, New Delhi",919900000000,28.63478846,77.21977059
Fourty Four,"Sandwich, Pizza, Fast Food, Beverages",700," Sector 45, Noida",4.1,330,2309,https://www.zomato.com/ncr/fourty-four-sector-45-noida,"Shop 14, VDC Market, Sector 45, Noida",919870000000,28.55560579,77.34667193
Jugaad Kitchen,"North Indian, Chinese, Mughlai, Kebab, Momos",1000," Sector 31, Gurgaon",4.1,453,5864,https://www.zomato.com/ncr/jugaad-kitchen-sector-31,"SCO 39, 2nd Floor, Sector 31/32A, Sector 31, Gurgaon",918507000000,28.45359012,77.05100935
Ustadi,Biryani,800," Sector 72, Noida",4.1,235,1924,https://www.zomato.com/ncr/ustadi-sector-72-noida,"Shop 38, kitchen 12, 1st Floor, Sundar Shopping Complex, Sarfabad, Sector 73, Near Sector 72, Noida",911141000000,28.57968,77.38567
